"APPLIANCE","POOL","SHARE","PROJECT","EXPORT","DATACENTER"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.140/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.139/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.138/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS6","EBPF_C3","@10.22.51.137/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","root=@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.11/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.13/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.144/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.143/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.142/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.141/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.140/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.139/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.138/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","EBPF_ZFS5","EBPF_C3","@10.22.51.137/26","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","DMASKESE","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","EBPF","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","MTNN","rw","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","MTNN","root=@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PROXCOM1","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203Y","Pool-01","backup1","PRDSTMSP","@192.168.8.0/22","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.66/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.67/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.68/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.69/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.58/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.59/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.60/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.61/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.62/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.63/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.64/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.65/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.14/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.12/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.13/32","Bologna"
"BO1ZFSDBAAS-M203G","Pool-02","DBSS-COM_ZFS_LOGAPPL","DBaaS-Bologna_C3","@192.168.10.11/32","Bologna"
